1,"active",NULL,NULL,"9991234",1,"A"
2,"completed",NULL,NULL,"9995678",2,"B"
3,"completed","2024-10-25","closed","9999012",3,"C"
4,"active",NULL,NULL,"9992468",4,"A"
5,"dropped","2024-10-30","open","9996789",5,"F"
6,"completed",NULL,NULL,"9993456",6,"B"
7,"active",NULL,NULL,"9997890",7,"C"
8,"completed",NULL,NULL,"9994567",8,"A"
9,"dropped","2024-11-01","closed","9999012",9,"D"
10,"active",NULL,NULL,"9992468",10,"B"
11,"completed",NULL,NULL,"9996789",11,"A"
12,"active","2024-11-05","open","9993456",12,"C"
13,"dropped",NULL,NULL,"9997890",13,"F"
14,"active",NULL,NULL,"9994567",14,"B"
15,"completed",NULL,NULL,"9999012",15,"A"
